在“他只要将手中的剑举起，看着一抹黑影无声无息地掠向了自己。”这句话中，自己指的是	f:0.3324970797114483	m:0.33498843959264024	t:0.3325144806959115
在“新的门就在眼前，他却不知道那后面是什么在等待自己。”这句话中，自己指的是	f:0.33301851391675863	m:0.3339467944716137	t:0.33303469161162763
在“她想那些东西若被搜查着，日本兵的刺刀会刺通了自己。”这句话中，自己指的是	f:0.3348281311114393	m:0.33258303027714115	t:0.33258883861141963
在“她感到它在暗中牢牢地控制着自己。”这句话中，自己指的是	f:0.333886278972567	m:0.33299537968845355	t:0.3331183413389795
在“男子知道旋律已经以虎钳般的力量抓住了自己。”这句话中，自己指的是	f:0.3332953848039407	m:0.3333886287621536	t:0.3333159864339058
在“他认为猝死会逼近自己。”这句话中，自己指的是	f:0.33234335759225864	m:0.3352990614999526	t:0.3323575809077888
在“我甚至感到土黄色的地面都在威胁着自己。”这句话中，自己指的是	f:0.24981031267284912	m:0.24982072089827864	w:0.2505450738392155	t:0.24982389258965676
在“杰克感到错综复杂的各类情感像刀子一样切割自己。”这句话中，自己指的是	f:0.33331682293458076	m:0.33335238717494586	t:0.33333078989047343
在“适才他只是假定了几十只摄影机的黑洞洞的独眼包围着自己。”这句话中，自己指的是	f:0.333252722850817	m:0.3334736970650249	t:0.33327358008415814
在“她只是无形中感到杰克那无拘无束的态度在不断地威胁着自己。”这句话中，自己指的是	f:0.33371591274155765	m:0.33314312582553895	t:0.3331409614329034
在“她觉着有个东西狠狠垫了自己一下。”这句话中，自己指的是	f:0.33373941739315316	m:0.3331213163404956	t:0.3331392662663513
在“他刚装了一副假牙，还拿定了这种奶酪最合适自己。”这句话中，自己指的是	f:0.3321127147230053	m:0.3357457471129728	t:0.33214153816402187
在“他还不懂得瘟疫在威胁着自己。”这句话中，自己指的是	f:0.33254345070747215	m:0.3348865768498733	t:0.3325699724426547
在“走出帐篷时，他感到那早已忘掉的高山雪夜的死一般的寂静笼罩着自己。”这句话中，自己指的是	f:0.3324016518720695	m:0.3351792011969309	t:0.33241914693099966
在“他觉得可能是风里的那个东西抓住了克洛维斯，他害怕那东西也会抓住自己。”这句话中，自己指的是	f:0.33259501446265466	m:0.33479335797374776	t:0.33261162756359763
