在“罗伯特-乔丹明白她信任自己。”这句话中，自己指的是	f:0.4997674226928606	m:0.5002325773071394
在“她明白是建军在暗中保护着自己。”这句话中，自己指的是	f:0.5005356667376581	m:0.49946433326234185
在“他知道他们在说自己。”这句话中，自己指的是	f:0.4997673630882287	m:0.5002326369117712
在“婆一见她就说他骗了自己。”这句话中，自己指的是	f:0.4998964518323444	m:0.5001035481676557
在“她明白他还在跟着自己。”这句话中，自己指的是	f:0.5014423091937588	m:0.4985576908062412
在“她发现他还在恶狠狠地看着自己。”这句话中，自己指的是	f:0.5010895115774592	m:0.49891048842254077
在“姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己。”这句话中，自己指的是	f:0.5000103712081895	m:0.4999896287918106
在“德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己。”这句话中，自己指的是	f:0.49981634319654544	m:0.5001836568034546
在“建军本来在看电视，突然发觉母亲在注视着自己。”这句话中，自己指的是	f:0.49994723498840843	m:0.5000527650115915
在“校长忽然不说话了，建军知道她正打量着自己。”这句话中，自己指的是	f:0.49995689094077306	m:0.500043109059227
在“他抬眼一瞥，看到她在看着自己。”这句话中，自己指的是	f:0.49740292977375955	m:0.5025970702262403
在“我咕哝着，担心他弄醒自己。”这句话中，自己指的是	f:0.33229956443258807	m:0.33251770664080155	w:0.33518272892661033
在“铂内尔发现那双灰眼睛正以奇异的目光注视着自己。”这句话中，自己指的是	f:0.4999846965074587	m:0.5000153034925413
在“她感觉到男出纳的黑眼睛一动不动地盯着自己。”这句话中，自己指的是	f:0.50064326787267	m:0.49935673212732995
在“他看到丽娟怀疑地看着自己。”这句话中，自己指的是	f:0.4983380796123439	m:0.5016619203876561
在“她不喜欢建军继续抚摸自己。”这句话中，自己指的是	f:0.5008677533497413	m:0.4991322466502587
在“我甚至也希望丽娟能够这样来迎接自己。”这句话中，自己指的是	f:0.33262894603026316	m:0.3327452075310577	w:0.33462584643867915
在“她一抬头，看到建军正在端详着自己。”这句话中，自己指的是	f:0.500458165874992	m:0.49954183412500797
在“她觉得对面的日本兵非常不友好地看着自己。”这句话中，自己指的是	f:0.5007674986056518	m:0.49923250139434816
在“她相信一营的士兵们也都会这样嘲笑自己。”这句话中，自己指的是	f:0.5014499236234334	m:0.4985500763765666
在“她害怕他辞掉自己。”这句话中，自己指的是	f:0.5010592921621019	m:0.49894070783789823
在“丽娟知道建军是有心救济自己。”这句话中，自己指的是	f:0.5000101476907716	m:0.4999898523092284
在“他感到她在注意自己。”这句话中，自己指的是	f:0.49622107787101094	m:0.5037789221289891
在“奥多太太还只道他看上了自己。”这句话中，自己指的是	f:0.5002773552848533	m:0.49972264471514666
在“他看到她正微笑地注视着自己。”这句话中，自己指的是	f:0.4975493299511181	m:0.502450670048882
在“建军忽然发觉女儿长得并不像自己。”这句话中，自己指的是	f:0.4999201148755196	m:0.5000798851244805
在“她看到知县大老爷也正在注目自己。”这句话中，自己指的是	f:0.5012809159151638	m:0.49871908408483623
在“突然他发现丽娟在看自己。”这句话中，自己指的是	f:0.4984866724925171	m:0.5015133275074829
在“他只见丽娟正盯住自己。”这句话中，自己指的是	f:0.4985553215413587	m:0.5014446784586414
在“可他总觉得王太太在扭头望着自己。”这句话中，自己指的是	f:0.4994683863735697	m:0.5005316136264303
在“他知道它正在芦苇丛里仇恨地盯着自己。”这句话中，自己指的是	f:0.332505994163598	m:0.33479599036669616	t:0.33269801546970573
在“建军则害怕丽娟告发自己。”这句话中，自己指的是	f:0.49991914630006695	m:0.500080853699933
在“她希望建军能尽力挽留自己。”这句话中，自己指的是	f:0.5008541039265564	m:0.4991458960734435
在“他感到她又回避自己。”这句话中，自己指的是	f:0.4966185608457738	m:0.5033814391542262
在“他发现丽娟也正在默默地注视着自己。”这句话中，自己指的是	f:0.49889767348548	m:0.50110232651452
在“她知道那年轻轿夫正在注视着自己。”这句话中，自己指的是	f:0.5007774972609457	m:0.49922250273905444
在“建军看到丽娟站在门边，悲哀地望着自己。”这句话中，自己指的是	f:0.4999941587448123	m:0.5000058412551878
在“她料不到建军会主动地强迫了自己。”这句话中，自己指的是	f:0.5003806351880054	m:0.49961936481199454
在“她希望他来看看自己。”这句话中，自己指的是	f:0.5029045016689053	m:0.49709549833109473
在“他不愿母亲靠近自己。”这句话中，自己指的是	f:0.49505343780891153	m:0.5049465621910886
在“我觉得丈夫背叛了自己。”这句话中，自己指的是	f:0.333371154829249	m:0.33316643265840024	w:0.33346241251235076
